Club Speed (mph),Attack Angle (deg),Club Path (deg),Club Face (deg),Face to Path (deg),Ball Speed (mph),Smash Factor,Launch Angle (deg),Launch Direction (deg),Backspin (rpm),Sidespin (rpm),Spin Rate (rpm),Spin Rate Type,Spin Axis (deg),Apex Height (ft),Total Distance (yards),Total Deviation Angle (deg),Total Deviation Distance (yards),Air Density (g/L),Temperature (F),Air Pressure (kPA),Carry Distance (yards),Carry Deviation Angle (deg),Carry Deviation Distance (yards)
93.21313529,-2.18,-0.23,-5.54,-5.31,130.480498,1.399808059,5.679999828,-4.579999924,3243.298096,-410.8739929,3269.219971,Measured,7.21999979,22.3425195,230.1837224,-2.25,-9.055117818,0.9508776,69.692,80.74,167.7821502,-2.779999971,-8.147418864
95.45007158,-3.97,-2.57,4.42,6.99,117.193091,1.227794689,16.54000092,3.309999943,2344.718506,-973.1325684,2538.639893,Measured,22.54000092,59.44882165,205.7414752,10.01000023,35.76115569,0.9508776,69.692,80.74,181.9007019,9.340000153,29.52755906
91.60254116,-4.19,-2.29,-2.05,0.24,113.2560869,1.236385862,20.47999954,-1.970000029,4351.041992,-840.2415771,4431.430176,Measured,10.93000031,88.15617073,193.3508345,2.420000076,8.180227492,0.9508776,69.692,80.74,177.6137398,2.099999905,6.5179353
93.54867573,-2.03,-0.24,-1.34,-1.1,127.7737986,1.365853633,13.43999958,-1.129999995,3635.531006,-1394.821411,3893.919922,Measured,20.98999977,65.12467317,218.9523258,7.0,26.67322768,0.9508776,69.692,80.74,199.1360415,6.329999924,21.94881856
93.50393701,-5.23,-5.45,-1.81,3.64,129.2054365,1.381818142,11.03999996,-2.170000076,4451.445313,-2146.164551,4941.799805,Measured,25.73999977,55.41338382,208.3989475,8.380000114,30.39151456,0.9508776,69.692,80.74,190.0699946,7.510000229,24.84689339
94.33160344,-3.68,1.45,-0.93,-2.38,125.6487074,1.331989523,13.22000027,-0.579999983,3735.45752,-1213.003052,3927.469971,Measured,17.98999977,62.30314886,214.2716455,6.349999905,23.68766388,0.9508776,69.692,80.74,194.4991318,5.769999981,19.56474124
94.44345025,-3.81,0.64,9.2,8.56,126.2079415,1.336333448,15.35000038,7.639999866,5687.808105,-3212.76709,6532.459961,Measured,29.45999908,77.42782277,192.1369231,21.69000053,71.01925026,0.9508776,69.692,80.74,184.2301036,21.36000061,67.10411265
93.3249821,-2.28,-0.44,3.24,3.68,128.6909422,1.378954908,14.77999973,2.599999905,5390.409668,-1298.103516,5544.509766,Measured,13.53999996,86.12204724,216.3276439,9.319999695,35.05030538,0.9508776,69.692,80.74,200.9733205,8.949999809,31.26640437
94.39871152,-2.84,0.53,-5.46,-5.99,120.2353257,1.273696682,14.39999962,-4.409999847,4615.716797,-1282.654419,4790.620117,Measured,15.52999973,66.96194176,199.5406898,1.830000043,6.364829584,0.9508776,69.692,80.74,183.3333327,1.340000033,4.297900335
94.9579456,-1.92,-1.8,-4.72,-2.92,133.5003586,1.405889289,11.93999958,-4.099999905,2739.701172,-453.063324,2776.909912,Measured,9.390000343,57.8412046,239.227909,-1.090000033,-4.538495292,0.9508776,69.692,80.74,213.7357857,-1.399999976,-5.216535412
63.64083751,-3.68,0.34,2.02,1.68,75.45186011,1.185588736,30.81999969,1.710000038,2384.914063,-643.9457397,2470.320068,Measured,15.10999966,57.6771651,106.4304459,5.010000229,9.295713036,0.9508776,69.692,80.74,102.1653523,4.869999886,8.672353268
64.78167502,-3.74,-6.05,2.02,8.07,74.22154685,1.145718243,27.56999969,0.899999976,3060.631836,311.9670715,3076.48999,Measured,-5.820000172,48.4251976,117.3447102,0.850000024,1.727909058,0.9508776,69.692,80.74,96.12861059,-0.289999992,-0.492125971
72.40962777,-3.69,-0.92,-6.84,-5.92,97.32909431,1.344145762,2.339999914,-5.730000019,2212.154785,-728.1751709,2328.919922,Measured,18.21999931,1.148293944,135.8377068,-4.349999905,-10.31277374,0.9508776,69.692,80.74,40.75896813,-4.690000057,-3.335520508
72.0293486,-5.54,-6.29,-7.92,-1.63,92.65389712,1.286335347,24.54000092,-7.289999962,3603.565186,879.1207886,3709.25,Measured,-13.71000004,67.48687564,136.4173205,-11.81999969,-27.94181894,0.9508776,69.692,80.74,136.4173205,-11.81999969,-27.94181894
71.067466,-4.99,-1.51,-8.6,-7.09,87.37473464,1.2294618,21.67000008,-7.25,4150.818848,1475.591431,4405.299805,Measured,-19.56999969,49.60629884,124.9015738,-13.35000038,-28.84951789,0.9508776,69.692,80.74,117.7055963,-13.02000046,-26.5091861
72.65569077,-7.26,0.61,-4.32,-4.93,87.71026996,1.207204405,26.23999977,-3.470000029,2368.960693,-213.9248505,2378.600098,Measured,5.159999847,63.25459543,137.2594074,-2.420000076,-5.807086552,0.9508776,69.692,80.74,128.4448786,-2.460000038,-5.522747365
71.71617752,-5.22,0.54,0.43,-0.11,84.71277499,1.181222674,24.70000076,0.419999987,4156.709473,-718.7355957,4218.390137,Measured,9.81000042,57.11942207,122.8346453,3.430000067,7.349081135,0.9508776,69.692,80.74,116.0105007,3.180000067,6.441382181
,,,,,111.0638903,-49.65000153,15.65999985,-7.71999979,2649.32251,-1263.661987,2935.26001,Measured,25.5,50.0984267,165.1793452,-1.149999976,-3.324584385,0.9508776,69.692,80.74,165.1793452,-1.149999976,-3.324584385
,,,,,113.4797771,-50.72999954,16.40999985,0.839999974,1754.291016,-990.1063843,2014.410034,Measured,29.44000053,49.50787452,170.4286924,6.989999771,20.74584352,0.9508776,69.692,80.74,170.4286924,6.989999771,20.74584352
,,,,,120.2353257,-53.75,8.68999958,0.170000002,4530.537598,-2877.385498,5367.040039,Measured,32.41999817,31.26640332,177.0341261,11.40999985,35.02843261,0.9508776,69.692,80.74,153.8167037,10.42000008,27.82152289
88.71689334,-4.33,-9.69,3.38,13.07,122.651221,1.382501307,12.68999958,1.559999943,4151.709473,-2251.380371,4722.859863,Measured,28.46999931,54.19947657,188.7248549,12.22000027,39.96063092,0.9508776,69.692,80.74,178.8604583,11.77999973,36.51574736
89.67877595,-4.73,-8.26,1.77,10.03,119.2287027,1.329508587,15.89999962,0.419999987,2411.825928,-1619.457886,2905.090088,Measured,33.88000107,56.72572479,181.2117202,9.699999809,30.53368337,0.9508776,69.692,80.74,181.2117202,9.699999809,30.53368337
,,,,,123.0762358,-55.02000046,6.820000172,-4.880000114,5484.561035,-2118.515625,5879.5,Measured,21.12000084,31.62729771,165.5074326,2.630000114,7.57873997,0.9508776,69.692,80.74,165.5074326,2.630000114,7.57873997
,,,,,130.1002144,-58.15999985,8.75,-0.579999983,3757.386963,-2155.360596,4331.689941,Measured,29.84000015,38.1233592,182.4147015,9.149999619,29.01356156,0.9508776,69.692,80.74,182.4147015,9.149999619,29.01356156
,,,,,119.474767,-53.40999985,7.260000229,-4.659999847,4165.431641,-2718.519775,4974.049805,Measured,33.13000107,23.06430515,166.8416421,5.71999979,16.62292193,0.9508776,69.692,80.74,140.0153093,4.300000191,10.4877517
,,,,,86.83786617,-38.81999969,15.65999985,-16.53000069,8804.425781,1571.478027,8943.570313,Measured,-10.11999989,35.69553843,108.5629885,-20.81999969,-38.58267583,0.9508776,69.692,80.74,108.5629885,-20.81999969,-38.58267583
,,,,,123.8144204,-55.34999847,7.78000021,-4.940000057,3510.576172,-2343.919678,4221.149902,Measured,33.72999954,25.95144307,157.458438,4.309999943,11.84383194,0.9508776,69.692,80.74,157.458438,4.309999943,11.84383194
99.09627774,-4.87,5.1,-8.21,-13.31,123.3223002,1.24446955,14.60000038,-6.099999905,1660.571533,24.3469944,1660.75,Measured,-0.839999974,50.98425184,198.1736731,-7.380000114,-25.47025472,0.9508776,69.692,80.74,193.1430453,-6.409999847,-21.54418281
101.0424123,-3.6,13.72,-9.49,-23.21,118.2220796,1.170024319,16.26000023,-6.079999924,2185.54126,489.3273621,2239.649902,Measured,-12.61999989,59.51443369,189.501311,-9.479999542,-31.20078815,0.9508776,69.692,80.74,189.501311,-9.479999542,-31.20078815
,,,,,116.3654269,-52.02000046,17.18000031,-0.660000026,2660.12915,-1703.186768,3158.659912,Measured,32.63000107,62.00787276,178.4120728,8.840000153,27.42782144,0.9508776,69.692,80.74,178.4120728,8.840000153,27.42782144
,,,,,115.0679998,-51.43999863,19.53000069,-0.529999971,2897.458984,-1575.812134,3298.25,Measured,28.54000092,75.29527809,182.3709476,8.539999962,27.07786552,0.9508776,69.692,80.74,182.3709476,8.539999962,27.07786552
,,,,,118.9826383,-53.18999863,16.63999939,6.179999828,4945.240234,-3425.523193,6015.779785,Measured,34.70999908,69.16010474,179.7244054,21.38999939,65.5511796,0.9508776,69.692,80.74,171.0629901,20.40999985,59.64567029
,,,,,111.4217998,-49.81000137,11.71000004,-10.01000023,3082.165039,-1916.986084,3629.679932,Measured,31.87999916,33.16929021,148.0861807,-1.960000038,-5.052493313,0.9508776,69.692,80.74,148.0861807,-1.960000038,-5.052493313
,,,,,111.8915544,-50.02000046,19.98999977,0.910000026,3138.665283,-1524.053711,3489.120117,Measured,25.89999962,74.63910761,175.4374433,9.359999657,28.53237112,0.9508776,69.692,80.74,175.4374433,9.359999657,28.53237112
,,,,,110.2585919,-49.29000092,18.04999924,1.059999943,3000.228271,-2979.355469,4228.22998,Measured,44.79999924,55.51181127,172.8893223,14.92000008,44.52099637,0.9508776,69.692,80.74,152.7668443,14.11999989,37.25940474
92.29599141,-2.6,-6.7,-3.14,3.56,111.9810339,1.213281662,15.32999992,-3.420000076,3877.020752,-2520.653809,4624.390137,Measured,33.02999878,52.55905662,169.6740966,7.679999828,22.65966679,0.9508776,69.692,80.74,158.8473316,7.159999847,19.79440112
,,,,,114.8666752,-51.34999847,17.35000038,2.99000001,4515.493164,-1122.491089,4652.919922,Measured,13.96000004,74.34383152,178.4995639,8.56000042,26.56386802,0.9508776,69.692,80.74,178.4995639,8.56000042,26.56386802
,,,,,113.9942714,-50.95999908,19.10000038,9.960000038,5356.337891,-4763.945313,7168.370117,Measured,41.65000153,70.01312386,162.0953644,27.79000092,75.57961572,0.9508776,69.692,80.74,156.6929121,27.32999992,71.9488199
,,,,,124.4631339,-55.63999939,,-19.20999908,625.5405884,1934.401733,2033.030029,Measured,-72.08000183,0.0,151.0170564,0.109999999,0.295275602,0.9508776,69.692,80.74,0.0,-80.22000122,0.0
,,,,,117.5733746,-52.56000137,17.76000023,3.660000086,4561.362793,-2688.992432,5294.970215,Measured,30.52000046,74.70472591,183.1146133,16.20999908,51.1154874,0.9508776,69.692,80.74,174.5297423,15.80000019,47.51749865
,,,0.0,,85.16016396,-38.06999969,16.89999962,1.74000001,4802.76709,-3371.685547,5868.120117,Measured,35.06999969,30.5446208,102.3622031,10.73999977,19.08355289,0.9508776,69.692,80.74,102.3622031,10.73999977,19.08355289
